w,coin,nL,nS,medL,medS,perday
0xffe839343e3c51f04501392b0430cd6ce940597c,HYPE,127,124,38.0,35.0,1.3
0xaab693931cb62a3530140774ff55c0b729b592bf,BTC,121,120,9.0,3.0,1.3
0x459e59437e5a87a2fea099acddc5134d6d1afe2f,BTC,141,81,4.0,1.0,1.2
0x5e303627181a51bced34a92abf6f1a77d8e97587,BTC,83,153,0.0,8.0,1.2
0x51b84d307cf9936b0a3eeb8b1cf4a53dc28f931a,HYPE,33,205,14.0,22.0,1.2
0xba9624f220f30771cb160b3777457c2844264c65,BTC,118,120,11.0,9.0,1.2
0x54c8aee9f2779d968b6e1e45c63e79119ac8be64,BTC,81,142,0.0,6.0,1.2
0x850b7439dc81364638d0fbbcb2ba4040c24585d4,ETH,89,151,8.0,11.0,1.2
0x6413d8f85a2eff1dc3ee3e0db7d8c89ccbd51dc5,BTC,147,76,7.0,3.0,1.2
0x254b67efc690f987f7dc7a604c65e009dfe2c883,BTC,124,110,21.0,22.0,1.2
0x24100e7ec34e312e1354361dd8417842e9a7678c,BTC,97,132,5.0,6.0,1.2
0x62e7c7bd32be7c592e28048628d2ccccac974455,BTC,94,125,22.0,7.0,1.1
0x8b3fdc7ff783ea742b9abffd79ec716bb24312d7,BTC,64,140,17.0,19.0,1.1
0x6056f05be983f173454e608a646c17c3190c3d2c,ETH,138,71,7.0,1.0,1.1
0x679afcfc231ec0fd192240cd57abb8d48a2aad78,BTC,116,93,4.0,12.0,1.1
0x34e77864156a10e0abb8041c1fb6562da677e174,BTC,146,63,8.0,2.0,1.1
0x7a5a7239e209b186329c90acb7385db6fe6c4779,kPEPE,104,106,41.0,39.0,1.1
0x507bd8a824723b8291aef08edee03e7991b974cf,BTC,74,125,4.0,19.0,1.0
0x24fc32d26f7c897ee9730ed96c9bc33c8713c6c7,HYPE,107,92,37.0,9.0,1.0
0x5d7f1e1dc45c9e16863a97b07a21d8e678a827db,BTC,65,125,6.0,9.0,1.0
0x067460b871e2a6901d44ae2fb41e57c3f338410a,HYPE,139,49,7.0,17.0,1.0
0x8e2d711e9aedbc96bc27778a968f271a8299e206,xyz:CL,120,68,1.0,0.0,1.0
0x09b7a3a5b5a54dcec5e3fa3ce32e683d4457a1cf,BTC,76,108,2.0,11.0,1.0
0x7460755c2375337c0e2153c643061d0dd3857249,SOL,99,88,19.0,18.0,1.0
0x7c6bf6f096fc86484debefa830312e056b9775da,BTC,96,99,15.0,15.0,1.0
0xd17a827f6b279d447100bad18322edd5d523ad6d,BTC,98,95,9.0,1.0,1.0
0xd0e95f9a9f092851090e8599876f7514852edf17,hyna:ETH,106,78,7.0,9.0,1.0
0xc9c78160120cd6ecf3dea892e9ae5af4115bf5f8,BTC,105,86,5.0,5.0,1.0
0x8e05435cb227e7d998955485eff509705e77e9df,ETH,115,69,1.0,1.0,1.0
