signal,horizon,n,mean_ret_bps,t_stat,p_value,sharpe,base
S1_TradeImbalanceFade_HYPE,1h,61,-13.023,-2.114,0.0387,-25.33,S1_TradeImbalanceFade_HYPE
S3_ArrivalRateFade_ETH,15min,479,-2.331,-2.115,0.035,-18.087,S3_ArrivalRateFade_ETH
S5_SmallLargeRatioFade_HYPE,15min,58,-7.219,-2.149,0.0359,-52.811,S5_SmallLargeRatioFade_HYPE
S11_L2Absorption_HYPE,15min,416,-2.857,-2.157,0.0316,-19.795,S11_L
S2_LargeTradeContinuation_SOL,15min,498,-1.803,-2.174,0.0302,-18.239,S2_LargeTradeContinuation_SOL
S3_ArrivalRateFade_HYPE,15min,457,-3.002,-2.177,0.03,-19.067,S3_ArrivalRateFade_HYPE
S9_SpreadWidenFade_HYPE,15min,508,-2.671,-2.229,0.0263,-18.51,S9_SpreadWidenFade_HYPE
S5_SmallLargeRatioFade_ETH,15min,116,-3.706,-2.234,0.0274,-38.823,S5_SmallLargeRatioFade_ETH
S1_TradeImbalanceFade_BTC,1h,95,-6.864,-2.398,0.0185,-23.025,S1_TradeImbalanceFade_BTC
S11_L2Absorption_SOL,1h,130,-7.787,-2.405,0.0176,-19.741,S11_L
S5_SmallLargeRatioFade_SOL,15min,81,-4.681,-2.409,0.0183,-50.101,S5_SmallLargeRatioFade_SOL
S12_Hurst_MeanRev_BTC,1h,98,-7.124,-2.441,0.0165,-23.077,S12_Hurst_MeanRev
S1_TradeImbalanceFade_SOL,15min,202,-2.86,-2.473,0.0142,-32.575,S1_TradeImbalanceFade_SOL
S7_VolumeBurst_HYPE,5min,353,-2.509,-2.502,0.0128,-43.181,S7_VolumeBurst_HYPE
S12_Hurst_Momentum_BTC,5min,441,-1.156,-2.579,0.0102,-39.825,S12_Hurst_Momentum
S5_SmallLargeRatioFade_SOL,5min,81,-3.382,-2.666,0.0093,-96.024,S5_SmallLargeRatioFade_SOL
S12_Hurst_Momentum_ETH,5min,660,-1.246,-2.694,0.0072,-33.996,S12_Hurst_Momentum
S12_Hurst_MeanRev_ETH,15min,90,-6.158,-2.77,0.0068,-54.662,S12_Hurst_MeanRev
S8_CrossCoin_BTClag1m_ETH,1h,3618,-1.679,-2.781,0.0054,-4.328,S8_CrossCoin_BTClag
S3_ArrivalRateFade_BTC,1h,418,-3.796,-2.826,0.0049,-12.939,S3_ArrivalRateFade_BTC
S12_Hurst_Momentum_SOL,15min,304,-3.452,-2.858,0.0046,-30.686,S12_Hurst_Momentum
S10_L2DepthImbalance_ETH,5min,1144,-1.126,-2.897,0.0038,-27.766,S10_L
S5_SmallLargeRatioFade_ETH,5min,116,-2.499,-2.91,0.0043,-87.599,S5_SmallLargeRatioFade_ETH
S8_CrossCoin_BTClag5m_ETH,1h,3616,-1.818,-3.015,0.0026,-4.693,S8_CrossCoin_BTClag
S7_VolumeBurst_BTC,15min,471,-2.323,-3.145,0.0018,-27.127,S7_VolumeBurst_BTC
S9_SpreadWidenFade_ETH,15min,375,-3.378,-3.184,0.0016,-30.776,S9_SpreadWidenFade_ETH
S6_AggressiveFlow_BTC,1h,2203,-1.969,-3.265,0.0011,-6.51,S6_AggressiveFlow_BTC
S8_CrossCoin_BTClag3m_ETH,1h,3616,-1.988,-3.291,0.001,-5.123,S8_CrossCoin_BTClag
S7_VolumeBurst_HYPE,15min,353,-5.15,-3.347,0.0009,-33.344,S7_VolumeBurst_HYPE
S10_L2DepthImbalance_BTC,15min,561,-2.155,-3.379,0.0008,-26.702,S10_L
S9_SpreadWidenFade_BTC,15min,379,-2.943,-3.471,0.0006,-33.371,S9_SpreadWidenFade_BTC
S12_Hurst_MeanRev_ETH,5min,108,-5.802,-3.502,0.0007,-109.263,S12_Hurst_MeanRev
S2_LargeTradeContinuation_ETH,15min,540,-2.889,-3.534,0.0004,-28.472,S2_LargeTradeContinuation_ETH
S1_TradeImbalanceFade_HYPE,5min,125,-4.284,-3.589,0.0005,-104.064,S1_TradeImbalanceFade_HYPE
S3_ArrivalRateFade_ETH,5min,480,-2.294,-3.639,0.0003,-53.847,S3_ArrivalRateFade_ETH
S3_ArrivalRateFade_HYPE,5min,456,-3.229,-3.677,0.0003,-55.821,S3_ArrivalRateFade_HYPE
S6_AggressiveFlow_HYPE,1h,1263,-5.285,-3.786,0.0002,-9.972,S6_AggressiveFlow_HYPE
S2_LargeTradeContinuation_BTC,15min,554,-2.556,-3.867,0.0001,-30.753,S2_LargeTradeContinuation_BTC
S1_TradeImbalanceFade_BTC,15min,205,-4.018,-3.876,0.0001,-50.678,S1_TradeImbalanceFade_BTC
S3_ArrivalRateFade_SOL,1h,459,-6.393,-3.996,0.0001,-17.459,S3_ArrivalRateFade_SOL
S3_ArrivalRateFade_BTC,15min,418,-3.495,-4.0,0.0001,-36.622,S3_ArrivalRateFade_BTC
S3_ArrivalRateFade_HYPE,1h,459,-9.563,-4.015,0.0001,-17.541,S3_ArrivalRateFade_HYPE
S3_ArrivalRateFade_SOL,15min,463,-4.07,-4.13,0.0,-35.933,S3_ArrivalRateFade_SOL
S3_ArrivalRateFade_BTC,5min,420,-2.413,-4.256,0.0,-67.337,S3_ArrivalRateFade_BTC
S11_L2Absorption_ETH,15min,350,-4.855,-4.32,0.0,-43.23,S11_L
S12_Hurst_Momentum_SOL,5min,459,-2.832,-4.323,0.0,-65.428,S12_Hurst_Momentum
S12_Hurst_MeanRev_HYPE,5min,155,-6.602,-4.335,0.0,-112.887,S12_Hurst_MeanRev
S12_Hurst_MeanRev_BTC,15min,237,-4.177,-4.364,0.0,-53.062,S12_Hurst_MeanRev
S7_VolumeBurst_SOL,15min,580,-3.497,-4.382,0.0,-34.062,S7_VolumeBurst_SOL
S2_LargeTradeContinuation_HYPE,15min,548,-5.145,-4.44,0.0,-35.505,S2_LargeTradeContinuation_HYPE
